timestamp,cargo_stabilizationLevel,cargo_nextStabilizationAt,index_stabilizationLevel,index_nextStabilizationAt,revival_stabilizationLevel,revival_nextStabilizationAt,biostock_stabilizationLevel,biostock_nextStabilizationAt,steerage_stabilizationLevel,steerage_nextStabilizationAt,preservation_stabilizationLevel,preservation_nextStabilizationAt,cryoHub_stabilizationLevel,cryoHub_nextStabilizationAt,camera06_stabilizationLevel,camera06_nextStabilizationAt,camera09_stabilizationLevel,camera09_nextStabilizationAt
2026-03-08 18:45:05 UTC,1,2026-03-08T18:45:00.000Z,1,2026-03-08T18:45:00.000Z,0,2026-03-08T18:45:00.000Z,0,2026-03-08T18:45:00.000Z,0,2026-03-08T18:45:00.000Z,0,2026-03-08T18:45:00.000Z,3,2026-03-08T18:45:00.000Z,0,2026-03-08T18:45:00.000Z,0,2026-03-08T18:45:00.000Z
2026-03-08 19:00:05 UTC,1,2026-03-08T19:00:00.000Z,1,2026-03-08T19:00:00.000Z,0,2026-03-08T19:00:00.000Z,0,2026-03-08T19:00:00.000Z,0,2026-03-08T19:00:00.000Z,0,2026-03-08T19:00:00.000Z,2,2026-03-08T19:00:00.000Z,0,2026-03-08T19:00:00.000Z,0,2026-03-08T19:00:00.000Z
2026-03-08 19:05:35 UTC,1,2026-03-08T19:15:00.000Z,1,2026-03-08T19:15:00.000Z,0,2026-03-08T19:15:00.000Z,0,2026-03-08T19:15:00.000Z,0,2026-03-08T19:15:00.000Z,0,2026-03-08T19:15:00.000Z,4,2026-03-08T19:15:00.000Z,0,2026-03-08T19:15:00.000Z,0,2026-03-08T19:15:00.000Z
2026-03-08 19:17:00 UTC,1,2026-03-08T19:30:00.000Z,1,2026-03-08T19:30:00.000Z,0,2026-03-08T19:30:00.000Z,0,2026-03-08T19:30:00.000Z,0,2026-03-08T19:30:00.000Z,0,2026-03-08T19:30:00.000Z,3,2026-03-08T19:30:00.000Z,0,2026-03-08T19:30:00.000Z,0,2026-03-08T19:30:00.000Z
2026-03-08 19:32:00 UTC,1,2026-03-08T19:45:00.000Z,1,2026-03-08T19:45:00.000Z,0,2026-03-08T19:45:00.000Z,0,2026-03-08T19:45:00.000Z,0,2026-03-08T19:45:00.000Z,0,2026-03-08T19:45:00.000Z,3,2026-03-08T19:45:00.000Z,0,2026-03-08T19:45:00.000Z,0,2026-03-08T19:45:00.000Z
2026-03-08 19:47:00 UTC,1,2026-03-08T20:00:00.000Z,1,2026-03-08T20:00:00.000Z,0,2026-03-08T20:00:00.000Z,0,2026-03-08T20:00:00.000Z,0,2026-03-08T20:00:00.000Z,0,2026-03-08T20:00:00.000Z,3,2026-03-08T20:00:00.000Z,0,2026-03-08T20:00:00.000Z,0,2026-03-08T20:00:00.000Z
2026-03-08 20:02:00 UTC,1,2026-03-08T20:15:00.000Z,1,2026-03-08T20:15:00.000Z,0,2026-03-08T20:15:00.000Z,0,2026-03-08T20:15:00.000Z,0,2026-03-08T20:15:00.000Z,0,2026-03-08T20:15:00.000Z,2,2026-03-08T20:15:00.000Z,0,2026-03-08T20:15:00.000Z,0,2026-03-08T20:15:00.000Z
2026-03-08 20:17:00 UTC,1,2026-03-08T20:30:00.000Z,1,2026-03-08T20:30:00.000Z,0,2026-03-08T20:30:00.000Z,0,2026-03-08T20:30:00.000Z,0,2026-03-08T20:30:00.000Z,0,2026-03-08T20:30:00.000Z,1,2026-03-08T20:30:00.000Z,0,2026-03-08T20:30:00.000Z,0,2026-03-08T20:30:00.000Z
2026-03-08 20:32:00 UTC,1,2026-03-08T20:45:00.000Z,1,2026-03-08T20:45:00.000Z,0,2026-03-08T20:45:00.000Z,0,2026-03-08T20:45:00.000Z,0,2026-03-08T20:45:00.000Z,0,2026-03-08T20:45:00.000Z,2,2026-03-08T20:45:00.000Z,0,2026-03-08T20:45:00.000Z,0,2026-03-08T20:45:00.000Z
2026-03-08 20:47:00 UTC,1,2026-03-08T21:00:00.000Z,1,2026-03-08T21:00:00.000Z,0,2026-03-08T21:00:00.000Z,0,2026-03-08T21:00:00.000Z,0,2026-03-08T21:00:00.000Z,0,2026-03-08T21:00:00.000Z,2,2026-03-08T21:00:00.000Z,0,2026-03-08T21:00:00.000Z,0,2026-03-08T21:00:00.000Z
